phi_transmission,mc,mr,c_low,c_high_v6,theta_high,R0_proxy_high,peak_I_total,t_peak_I_total,S_end,attack_rate,peak_I_high,peak_I_low,high_frac_end,high_frac_peak_time
1.0,0.8,0.5,10.0,10.0,0.3,1.025,0.0010617080810578908,312.85714285714283,0.9746101226741973,0.025389877325802668,0.0005308540405289453,0.0005308540405289455,0.49999999952740515,0.49999999952906066
1.0,0.8,0.7,10.0,10.0,0.3,1.0849999999999997,0.0040303975301559086,308.84615384615387,0.9128662652511186,0.08713373474888142,0.0020151987650779543,0.0020151987650779543,0.4999999998712786,0.4999999998759427
1.0,0.8,1.0,10.0,10.0,0.3,1.1749999999999998,0.010695505150503958,203.5576923076923,0.8298496467140294,0.1701503532859706,0.005347752575251979,0.005347752575251979,0.49999999990282257,0.4999999999532514
1.0,1.0,0.5,10.0,10.0,0.3,1.0625,0.00274083106663512,360.989010989011,0.9406087337753576,0.059391266224642414,0.0013704155333175603,0.0013704155333175596,0.499999999817553,0.49999999981757365
1.0,1.0,0.7,10.0,10.0,0.3,1.1374999999999997,0.0076608954054526975,235.64560439560438,0.85423249997212,0.14576750002787997,0.0038304477027263487,0.0038304477027263487,0.49999999990309685,0.49999999993473343
1.0,1.0,1.0,10.0,10.0,0.3,1.25,0.01759517014881471,164.45054945054946,0.8071451346108172,0.19285486538918284,0.008797585074407355,0.008797585074407355,0.4999999999072218,0.4999999999715832
1.0,1.2,0.5,10.0,10.0,0.3,1.0999999999999999,0.004984389398615215,282.77472527472526,0.8939260477969644,0.10607395220303562,0.0024921946993076076,0.0024921946993076076,0.49999999988855387,0.49999999989968674
1.0,1.2,0.7,10.0,10.0,0.3,1.19,0.011995002910773347,194.53296703296704,0.8234768571359661,0.17652314286403392,0.005997501455386673,0.005997501455386673,0.4999999999022577,0.49999999995831595
1.0,1.2,1.0,10.0,10.0,0.3,1.325,0.025284133389939265,139.38186813186812,0.7886070745449235,0.21139292545507649,0.012642066694969633,0.012642066694969633,0.4999999999288106,0.49999999998022476
1.2,0.8,0.5,10.0,8.0,0.36,0.9408,0.000999000999000999,0.0,0.9837868500678203,0.016213149932179705,0.0004995004995004995,0.0006795448793417754,0.02197068187988787,0.4999999994995
1.2,0.8,0.7,10.0,8.0,0.36,1.00992,0.0035512185634455277,365.0,0.9305802509638045,0.06941974903619552,0.0004995004995004995,0.0034194930579445697,0.037093043728646115,0.037093043728646115
1.2,0.8,1.0,10.0,8.0,0.36,1.1135999999999997,0.009453433731257616,228.62637362637363,0.8303173217651364,0.1696826782348636,0.0018129575419533316,0.007881246481109404,0.07775163080008346,0.17041518377421616
1.2,1.0,0.5,10.0,8.0,0.36,0.984,0.0021956054545609364,365.0,0.9569755737771392,0.043024426222860845,0.0004995004995004995,0.002128599357859036,0.030518277558561454,0.030518277558561454
1.2,1.0,0.7,10.0,8.0,0.36,1.0703999999999998,0.0067315962646580935,275.7554945054945,0.8619953451440374,0.13800465485596258,0.0009605554227565287,0.006044699409457795,0.057821070863825146,0.10647655488893665
1.2,1.0,1.0,10.0,8.0,0.36,1.2,0.01600793763805547,175.48076923076923,0.804804726658965,0.19519527334103504,0.004548741827581197,0.011605948295218903,0.1304949042047629,0.27709489897490613
1.2,1.2,0.5,10.0,8.0,0.36,1.0272,0.00443026438969636,358.9835164835165,0.9102205030509348,0.08977949694906517,0.0004995004995004995,0.004241419723775069,0.04220136640423963,0.04429558120576811
1.2,1.2,0.7,10.0,8.0,0.36,1.1308799999999999,0.010653241954047765,214.5879120879121,0.8223359782007744,0.17766402179922558,0.002253498946408012,0.00862227492378918,0.08694115354558316,0.19461255338740008
1.2,1.2,1.0,10.0,8.0,0.36,1.2864,0.02370578612980568,145.39835164835165,0.7893281747778692,0.2106718252221308,0.008439669730899716,0.015339450186186487,0.19913893850048484,0.35374330918690633
1.5,0.8,0.5,10.0,5.0,0.44999999999999996,0.684375,0.000999000999000999,0.0,0.9839817558981495,0.016018244101850487,0.0004995004995004995,0.000735180740564533,6.218633447613201e-08,0.4999999994995
1.5,0.8,0.7,10.0,5.0,0.44999999999999996,0.751875,0.003887783369918045,365.0,0.9275209986902205,0.07247900130977947,0.0004995004995004995,0.003887782650775796,1.8497487653359441e-07,1.8497487653359441e-07
1.5,0.8,1.0,10.0,5.0,0.44999999999999996,0.8531249999999999,0.010483733368672652,241.6620879120879,0.818695895832154,0.18130410416784604,0.0004995004995004995,0.010482835598511162,1.0028954210454217e-06,8.56345854890751e-05
1.5,1.0,0.5,10.0,5.0,0.44999999999999996,0.7265625,0.0023779516675183727,365.0,0.955893060455044,0.044106939544956036,0.0004995004995004995,0.0023779513984098465,1.1316820687297148e-07,1.1316820687297148e-07
1.5,1.0,0.7,10.0,5.0,0.44999999999999996,0.8109374999999999,0.007509240724352004,283.7774725274725,0.8526841869070189,0.14731581309298114,0.0004995004995004995,0.007509157164146706,4.966828728396898e-07,1.1127650364987847e-05
1.5,1.0,1.0,10.0,5.0,0.44999999999999996,0.9375,0.017178270218766,190.52197802197801,0.7937045837358321,0.20629541626416792,0.0004995004995004995,0.017160808556831976,3.5721033230346296e-06,0.001016497104227135
1.5,1.2,0.5,10.0,5.0,0.44999999999999996,0.7687499999999999,0.004875792454577439,352.967032967033,0.9053685916146826,0.09463140838531736,0.0004995004995004995,0.004875790512598982,2.4376424035123585e-07,3.9828981130454064e-07
1.5,1.2,0.7,10.0,5.0,0.44999999999999996,0.8699999999999999,0.011752551976486116,228.62637362637363,0.8104208990384947,0.18957910096150532,0.0004995004995004995,0.011750662828079461,1.3141791844888627e-06,0.00016074367595007063
1.5,1.2,1.0,10.0,5.0,0.44999999999999996,1.0218749999999999,0.024512324168160276,159.4368131868132,0.78135296878093,0.21864703121907003,0.0004995004995004995,0.02440261744583068,1.0490151457599198e-05,0.0044755740652133525
1.8,0.8,0.5,10.0,1.9999999999999996,0.54,0.3041999999999999,0.000999000999000999,0.0,0.9838490958538807,0.016150904146119305,0.0004995004995004995,0.0007448607703563067,-5.776839812090439e-05,0.4999999994995
1.8,0.8,0.7,10.0,1.9999999999999996,0.54,0.3430799999999999,0.003912340695618546,365.0,0.9268481356793815,0.07315186432061849,0.0004995004995004995,0.003912313099757124,7.053542511015227e-06,7.053542511015227e-06
1.8,0.8,1.0,10.0,1.9999999999999996,0.54,0.4013999999999999,0.01058184433924102,239.6565934065934,0.818663772990288,0.18133622700971197,0.0004995004995004995,0.010581844339171014,2.4348772976956896e-17,6.615692890882602e-12
1.8,1.0,0.5,10.0,1.9999999999999996,0.54,0.3284999999999999,0.0024021128706763423,365.0,0.955434967283917,0.04456503271608303,0.0004995004995004995,0.002402112871950004,-5.302256654889139e-10,-5.302256654889139e-10
1.8,1.0,0.7,10.0,1.9999999999999996,0.54,0.37709999999999994,0.007559812876756173,281.77197802197804,0.8521529706983594,0.14784702930164062,0.0004995004995004995,0.007559812876755714,1.2325613752901952e-17,6.0699866787401e-14
1.8,1.0,1.0,10.0,1.9999999999999996,0.54,0.4499999999999999,0.017460307473791018,188.5164835164835,0.7944583419249862,0.2055416580750138,0.0004995004995004995,0.017460307440850413,9.686377388795436e-17,1.8865993695230257e-09
1.8,1.2,0.5,10.0,1.9999999999999996,0.54,0.3527999999999999,0.004898132725919149,349.9587912087912,0.9046256357956013,0.09537436420439871,0.0004995004995004995,0.0048981327280696214,-3.002851903871807e-10,-4.390391795359041e-10
1.8,1.2,0.7,10.0,1.9999999999999996,0.54,0.4111199999999999,0.011876766543639717,226.62087912087912,0.8105808895283625,0.1894191104716375,0.0004995004995004995,0.011876766543307327,3.15203060108208e-17,2.7986589705132634e-11
1.8,1.2,1.0,10.0,1.9999999999999996,0.54,0.49859999999999993,0.025131324401046283,158.43406593406593,0.7826761439061088,0.21732385609389115,0.0004995004995004995,0.025131323125303376,2.7976049585580354e-16,5.076305912698811e-08
2.2,0.8,0.5,10.0,0.0,0.66,0.0,0.000999000999000999,0.0,0.9838074866403209,0.016192513359679084,0.0004995004995004995,0.0007475636510324314,-1.0170611160829484e-06,0.4999999994995
2.2,0.8,0.7,10.0,0.0,0.66,0.0,0.003917148545107135,365.0,0.9266969259359807,0.07330307406401926,0.0004995004995004995,0.003917153324846358,-1.220208824353807e-06,-1.220208824353807e-06
2.2,0.8,1.0,10.0,0.0,0.66,0.0,0.010592645970853659,239.6565934065934,0.8186897792669826,0.1813102207330174,0.0004995004995004995,0.010592645970853659,1.4099082769856217e-33,3.2126832491425054e-23
2.2,1.0,0.5,10.0,0.0,0.66,0.0,0.002407751861530583,365.0,0.9553182653917455,0.04468173460825453,0.0004995004995004995,0.0024077875440585246,-1.4819852700245682e-05,-1.4819852700245682e-05
2.2,1.0,0.7,10.0,0.0,0.66,0.0,0.007566854937388104,281.77197802197804,0.8520771483263581,0.14792285167364194,0.0004995004995004995,0.007566854937388104,7.4844806241067255e-34,1.1545490968594972e-26
2.2,1.0,1.0,10.0,0.0,0.66,0.0,0.017480579014392414,188.5164835164835,0.7945659241153855,0.2054340758846145,0.0004995004995004995,0.017480579014392414,4.866913639317796e-33,1.5377625310840165e-18
2.2,1.2,0.5,10.0,0.0,0.66,0.0,0.0049020222990185675,348.95604395604397,0.9044713955368605,0.09552860446313949,0.0004995004995004995,0.004902028145009851,-1.1980358854677482e-06,-1.192567256053009e-06
2.2,1.2,0.7,10.0,0.0,0.66,0.0,0.011889338475246466,226.62087912087912,0.8106363850576268,0.1893636149423732,0.0004995004995004995,0.011889338475246466,3.4213583898180406e-33,2.4887923765091965e-21
2.2,1.2,1.0,10.0,0.0,0.66,0.0,0.02516263211048292,158.43406593406593,0.7827757425374774,0.2172242574625226,0.0004995004995004995,0.02516263211048291,8.193227535636521e-33,3.4986771594273717e-16
